ID,Source,Target,Path
1245,C0157738,C0038358,C0157738 -> C0333297 -> C0038358 -> C0041582 -> C0157738
1246,C0157738,C0030920,C0157738 -> C0333297 -> C0038358 -> C0030920 -> C0041582 -> C0157738
1247,C0157738,C0037299,C0157738 -> C0037299 -> C0157738
1248,C0157738,C0494891,C0157738 -> C0037299 -> C0494891 -> C0037299 -> C0157738
1249,C0157738,C0041582,C0157738 -> C0037299 -> C0041582 -> C0157738
1250,C0030827,C0030830,C0030827 -> C0030842 -> C0729074 -> C0030830 -> C0030827
1251,C0030827,C0700462,C0030827 -> C0030842 -> C0729074 -> C0700462 -> C0030827
1252,C0030827,C0030829,C0030827 -> C0030842 -> C0729074 -> C0030829 -> C0030827
1253,C0030827,C0729074,C0030827 -> C0030842 -> C0729074 -> C0030827
1254,C0030827,C0037540,C0030827 -> C0030842 -> C0729074 -> C0037540 -> C0030827
1255,C0030827,C0030842,C0030827 -> C0030842 -> C0729074 -> C0030827
1256,C0155088,C0155087,C0155088 -> C0155087 -> C0155088
1257,C0752253,C0164414,C0752253 -> C0164414 -> C1437978 -> C0752253
1258,C0752253,C1437978,C0752253 -> C0164414 -> C1437978 -> C0752253
1259,C0752253,C0597718,C0752253 -> C0164414 -> C1437978 -> C0597718 -> C0752253
1260,C0030922,C0494730,C0030922 -> C0494730 -> C0030922
1261,C0011479,C0086123,C0011479 -> C0086123 -> C0011479
1262,C0495671,C0016205,C0495671 -> C0016205 -> C0495671
1263,C0337616,C0476583,C0337616 -> C0476583 -> C0337616
1264,C0008526,C0008513,C0008526 -> C0008513 -> C0008526
1265,C0008526,C0035333,C0008526 -> C0008513 -> C0035333 -> C0008513 -> C0008526
1266,C0002884,C0162316,C0002884 -> C0162316 -> C0002884
1267,C0016298,C0060507,C0016298 -> C0060507 -> C0016298
1268,C0600040,C0282488,C0600040 -> C0282488 -> C0600040
1269,C0179706,C0878901,C0179706 -> C0221814 -> C0878901 -> C0221814 -> C0179706
1270,C0179706,C0221814,C0179706 -> C0221814 -> C0179706
1271,C0038580,C0001973,C0038580 -> C0013146 -> C0349269 -> C0085762 -> C0001973 -> C2919052 -> C0038580
1272,C0038580,C2919052,C0038580 -> C0013146 -> C0349269 -> C0085762 -> C0001973 -> C2919052 -> C0038580
1273,C0038580,C1510472,C0038580 -> C0013146 -> C1510472 -> C0013146 -> C0349269 -> C0085762 -> C0001973 -> C2919052 -> C0038580
1274,C0038580,C0394996,C0038580 -> C0013146 -> C0349269 -> C0085762 -> C0001973 -> C0001969 -> C0394996 -> C0001969 -> C0497318 -> C0085762 -> C0001973 -> C2919052 -> C0038580
1275,C0038580,C0013146,C0038580 -> C0013146 -> C0349269 -> C0085762 -> C0001973 -> C2919052 -> C0038580
1276,C0038580,C0001969,C0038580 -> C0013146 -> C0349269 -> C0085762 -> C0001973 -> C0001969 -> C0497318 -> C0085762 -> C0001973 -> C2919052 -> C0038580
1277,C0038580,C0085762,C0038580 -> C0013146 -> C0349269 -> C0085762 -> C0001973 -> C2919052 -> C0038580
1278,C0038580,C0349097,C0038580 -> C0013146 -> C0349269 -> C0085762 -> C0349097 -> C0013146 -> C0349269 -> C0085762 -> C0001973 -> C2919052 -> C0038580
1279,C0038580,C0497318,C0038580 -> C0013146 -> C0349269 -> C0085762 -> C0001973 -> C0001969 -> C0497318 -> C0085762 -> C0001973 -> C2919052 -> C0038580
1280,C0038580,C0349269,C0038580 -> C0013146 -> C0349269 -> C0085762 -> C0001973 -> C2919052 -> C0038580
1281,C0004930,C0149654,C0004930 -> C0149654 -> C0004930
1282,C0004930,C0008066,C0004930 -> C0149654 -> C0008066 -> C0004930
1283,C0028863,C0224134,C0028863 -> C0224134 -> C0028863
1284,C3158100,C1151329,C3158100 -> C1151329 -> C3158100
1285,C0231528,C0035435,C0231528 -> C0035435 -> C0231528
1286,C0086073,C0012694,C0086073 -> C0012694 -> C0086073
1287,C0476273,C0013404,C0476273 -> C0013404 -> C0476273
1288,C0149662,C0158457,C0149662 -> C0158457 -> C0149662
1289,C0553570,C0042344,C0553570 -> C0042344 -> C0553570
1290,C0005496,C0019588,C0005496 -> C0019588 -> C0005497 -> C0001041 -> C0005496
1291,C0005496,C0077431,C0005496 -> C0036751 -> C0077431 -> C0005497 -> C0001041 -> C0005496
1292,C0005496,C0005497,C0005496 -> C0028351 -> C0005497 -> C0001041 -> C0005496
1293,C0005496,C0036751,C0005496 -> C0036751 -> C0077431 -> C0005497 -> C0001041 -> C0005496
1294,C0005496,C0028351,C0005496 -> C0028351 -> C0005497 -> C0001041 -> C0005496
1295,C0005496,C0001041,C0005496 -> C0028351 -> C0005497 -> C0001041 -> C0005496
1296,C0005496,C0014563,C0005496 -> C0014563 -> C0007412 -> C0005497 -> C0001041 -> C0005496
1297,C0005496,C0007412,C0005496 -> C0014563 -> C0007412 -> C0005497 -> C0001041 -> C0005496
1298,C0152021,C0018798,C0152021 -> C0018798 -> C0152021
1299,C0026848,C0027868,C0026848 -> C0027868 -> C0026848
1300,C0026848,C0442874,C0026848 -> C0027868 -> C4721453 -> C0442874 -> C0027765 -> C0027868 -> C0026848
1301,C0026848,C0869054,C0026848 -> C0027765 -> C0869054 -> C0027765 -> C0027868 -> C0026848
1302,C0026848,C2015799,C0026848 -> C2015799 -> C0027765 -> C0027868 -> C0026848
1303,C0026848,C0549469,C0026848 -> C0027868 -> C4721453 -> C0549469 -> C0027868 -> C0026848
1304,C0026848,C0027765,C0026848 -> C0027765 -> C0027868 -> C0026848
1305,C0026848,C4721453,C0026848 -> C0027868 -> C4721453 -> C0027868 -> C0026848
1306,C0026848,C0158352,C0026848 -> C0158352 -> C0026848
1307,C0038940,C0302418,C0038940 -> C0302418 -> C0038940
1308,C0003811,C0232187,C0003811 -> C0264886 -> C0232187 -> C0003811
1309,C0003811,C0264886,C0003811 -> C0264886 -> C0232187 -> C0003811
1310,C0004690,C0004691,C0004690 -> C0004691 -> C0004690
1311,C0004690,C0156306,C0004690 -> C0156306 -> C0004690
1312,C0183391,C0183389,C0183391 -> C0183389 -> C0183391
1313,C0024305,C0019829,C0024305 -> C0019829 -> C0024299 -> C0024305
1314,C0024305,C0302329,C0024305 -> C0024299 -> C0302329 -> C0024305
1315,C0024305,C0024299,C0024305 -> C0024299 -> C0024305
